SEQN,Gender,Age,Race,Citizenship,Edu_y,Edu_a,Language,HouseholdSize,Child_5,Child_17,Old,Income,IncPov
84689,Female,47,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,1,2,0,"$ 100,000 +",5
84690,Male,9,Non-Hispanic Asian,US Citizen,Primary School,,English,4,0,2,0,"$ 75,000 - 99,999",3.55
84691,Female,80,Other Hispanic,US Citizen,,Less than 9th Grade,Spanish,1,0,0,1,"$ 10,000 - 19,999",1.26
84692,Female,5,Non-Hispanic Black,US Citizen,,,English,6,3,1,0,"$ 20,000 - 34,999",0.74
84693,Female,4,Non-Hispanic Black,US Citizen,,,English,3,1,0,0,"$ 100,000 +",5
84694,Male,58,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
84695,Male,80,Mexican American,US Citizen,,Less than 9th Grade,Spanish,1,0,0,1,"$ 10,000 - 19,999",0.93
84696,Male,61,Other Hispanic,US Citizen,,High School,English,6,1,1,1,"$ 100,000 +",3.07
84697,Female,1,Non-Hispanic Black,US Citizen,,,English,7,3,0,0,"$ 20,000 - 34,999",0.63
84698,Female,22,Other Race,US Citizen,,9th-11th,English,2,0,0,0,"$ 35,000 - 54,999",1.7
84699,Male,5,Non-Hispanic Black,US Citizen,,,English,4,2,1,0,"$ 20,000 - 34,999",1.24
84700,Female,48,Non-Hispanic Black,Not a US Citizen,,High School,English,7,0,0,0,"$ 35,000 - 54,999",0.95
84701,Female,4,Non-Hispanic Asian,US Citizen,,,English,3,1,0,0,"$ 100,000 +",4.96
84702,Male,47,Other Hispanic,US Citizen,,College/AA degree,Spanish,3,0,1,0,"$ 55,000 - 74,999",3.48
84703,Male,75,Non-Hispanic Asian,US Citizen,,High School,English,2,0,0,2,"$ 20,000 - 34,999",1.25
84704,Female,55,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,0,1,"$ 35,000 - 54,999",2.23
84705,Male,75,Non-Hispanic Black,US Citizen,,9th-11th,English,3,0,0,2,"$ 20,000 - 34,999",1.02
84706,Female,51,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,2,0,0,"$ 100,000 +",5
84707,Female,22,Non-Hispanic White,US Citizen,,College Grad and above,English,4,0,0,0,"$ 100,000 +",5
84708,Female,14,Non-Hispanic White,US Citizen,Middle School,,English,3,0,1,0,"$ 75,000 - 99,999",3.73
84709,Male,18,Non-Hispanic Black,US Citizen,High School,,English,2,0,0,0,"$ 20,000 - 34,999",1.56
84710,Female,71,Other Hispanic,US Citizen,,High School,English,1,0,0,1,"$ 20,000 - 34,999",1.83
84711,Male,41,Non-Hispanic Asian,US Citizen,,College Grad and above,English,1,0,0,0,"$ 75,000 - 99,999",5
84712,Male,34,Non-Hispanic Black,US Citizen,,9th-11th,English,4,1,0,1,"$ 0 - 9,999",0.31
84713,Female,2,Non-Hispanic White,US Citizen,,,English,7,3,4,0,"$ 55,000 - 74,999",0.78
84714,Female,4,Non-Hispanic White,US Citizen,,,English,3,1,1,0,"$ 10,000 - 19,999",0.74
84715,Male,60,Non-Hispanic White,US Citizen,,High School,English,2,0,0,1,"$ 10,000 - 19,999",1.27
84716,Female,44,Non-Hispanic White,US Citizen,,9th-11th,English,6,0,1,0,"$ 35,000 - 54,999",1.07
84717,Male,50,Non-Hispanic Black,US Citizen,,9th-11th,English,1,0,0,0,"$ 0 - 9,999",5.40E-79
84718,Male,1,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 10,000 - 19,999",0.75
84719,Male,19,Non-Hispanic Black,US Citizen,High School,,English,2,0,0,0,"$ 35,000 - 54,999",2.56
84720,Female,57,Mexican American,Not a US Citizen,,9th-11th,Spanish,6,1,2,0,"$ 20,000 - 34,999",0.75
84721,Male,12,Non-Hispanic Black,US Citizen,Middle School,,English,5,0,2,0,"$ 55,000 - 74,999",2.29
84722,Male,14,Non-Hispanic White,US Citizen,Middle School,,English,6,1,3,0,"$ 75,000 - 99,999",2.55
84723,Male,47,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,1,2,0,"$ 100,000 +",5
84724,Male,15,Mexican American,US Citizen,High School,,English,6,0,2,0,Don't Know,
84725,Female,12,Mexican American,US Citizen,Primary School,,English,6,1,3,0,"$ 55,000 - 74,999",1.74
84726,Male,33,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
84727,Male,80,Non-Hispanic White,US Citizen,,9th-11th,English,2,0,0,1,"$ 0 - 9,999",0.03
84728,Male,2,Non-Hispanic White,US Citizen,,,English,5,1,0,0,"$ 35,000 - 54,999",1.83
84729,Female,9,Non-Hispanic White,US Citizen,Primary School,,English,5,0,2,1,"$ 75,000 - 99,999",2.64
84730,Female,2,Other Hispanic,US Citizen,,,English,3,1,0,0,"$ 100,000 +",5
84731,Male,12,Non-Hispanic Black,US Citizen,Middle School,,English,2,0,1,0,"$ 10,000 - 19,999",
84732,Male,80,Non-Hispanic White,US Citizen,,9th-11th,English,3,0,0,3,"$ 35,000 - 54,999",1.79
84733,Female,10,Other Hispanic,US Citizen,Primary School,,Spanish,3,0,2,0,"$ 20,000 - 34,999",1.24
84734,Female,36,Non-Hispanic White,US Citizen,,High School,English,3,0,1,0,"$ 35,000 - 54,999",0.44
84735,Male,59,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,0,"$ 20,000 - 34,999",1.87
84736,Female,54,Non-Hispanic Black,US Citizen,,College/AA degree,English,6,3,0,0,"$ 20,000 - 34,999",0.94
84737,Male,9,Non-Hispanic Asian,US Citizen,Primary School,,English,6,0,2,0,"$ 75,000 - 99,999",2.99
84738,Male,45,Non-Hispanic White,US Citizen,,High School,English,4,0,2,0,"$ 75,000 - 99,999",3.7
84739,Male,15,Other Hispanic,US Citizen,Middle School,,English,3,0,1,1,"$ 10,000 - 19,999",
84740,Male,10,Non-Hispanic White,US Citizen,Primary School,,English,4,0,2,0,"$ 100,000 +",5
84741,Female,63,Non-Hispanic Black,US Citizen,,College/AA degree,English,1,0,0,1,"$ 10,000 - 19,999",1.09
84742,Female,80,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,1,"$ 10,000 - 19,999",1.43
84743,Male,2,Non-Hispanic Asian,US Citizen,,,English,4,2,0,0,"$ 100,000 +",5
84744,Female,0,Non-Hispanic Black,US Citizen,,,English,5,2,2,0,"$ 0 - 9,999",0.25
84745,Female,42,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,5,0,2,0,"$ 55,000 - 74,999",2.11
84746,Male,6,Other Race,US Citizen,Never Attended/KG,,English,7,3,4,0,"$ 20,000 - 34,999",
84747,Female,66,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,1,"$ 20,000 - 34,999",1.43
84748,Male,22,Other Hispanic,US Citizen,,College/AA degree,English,4,0,1,0,"$ 100,000 +",4.73
84749,Male,14,Other Hispanic,US Citizen,Middle School,,English,4,0,3,0,"$ 10,000 - 19,999",0.43
84750,Female,10,Non-Hispanic White,US Citizen,Primary School,,English,7,0,4,0,"$ 75,000 - 99,999",2.04
84751,Male,54,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,1,"$ 20,000 - 34,999",1.87
84752,Male,62,Non-Hispanic White,US Citizen,,High School,English,3,0,0,2,"$ 35,000 - 54,999",2.36
84753,Male,33,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,5,1,2,0,"$ 35,000 - 54,999",1.76
84754,Male,70,Non-Hispanic White,US Citizen,,9th-11th,English,3,0,0,3,"$ 10,000 - 19,999",0.62
84755,Female,65,Non-Hispanic Asian,US Citizen,,College Grad and above,English,3,0,0,1,"$ 100,000 +",5
84756,Male,36,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,4,1,1,0,"$ 100,000 +",5
84757,Male,56,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,0,0,"$ 100,000 +",5
84758,Male,2,Non-Hispanic Asian,US Citizen,,,English,5,1,1,1,"$ 100,000 +",5
84759,Female,34,Mexican American,Not a US Citizen,,College/AA degree,Spanish,3,0,1,0,"$ 10,000 - 19,999",0.89
84760,Female,23,Non-Hispanic White,US Citizen,,High School,English,3,1,0,0,"$ 35,000 - 54,999",2.48
84761,Male,4,Non-Hispanic White,US Citizen,,,English,6,1,0,0,"$ 75,000 - 99,999",2.76
84762,Male,16,Mexican American,Not a US Citizen,High School,,Spanish,7,0,4,0,"$ 35,000 - 54,999",0.85
84763,Female,56,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,2,0,0,1,"$ 20,000 - 34,999",1.88
84764,Male,41,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,0,2,1,"$ 100,000 +",5
84765,Female,44,Other Hispanic,US Citizen,,9th-11th,Spanish,4,0,0,0,"$ 20,000 - 34,999",0.75
84766,Female,40,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,0,1,0,"$ 100,000 +",5
84767,Male,20,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,2,0,0,"$ 35,000 - 54,999",1.65
84768,Female,33,Mexican American,US Citizen,,High School,English,6,1,3,0,"$ 75,000 - 99,999",2.46
84769,Male,3,Mexican American,US Citizen,,,English,7,1,2,0,"$ 55,000 - 74,999",1.49
84770,Male,52,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,0,3,0,"$ 10,000 - 19,999",0.66
84771,Male,31,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,3,1,0,0,"$ 55,000 - 74,999",3.24
84772,Female,12,Non-Hispanic Black,US Citizen,Primary School,,English,4,1,2,0,"$ 10,000 - 19,999",0.45
84773,Female,15,Other Hispanic,US Citizen,High School,,Spanish,6,0,1,0,"$ 35,000 - 54,999",1.07
84774,Female,48,Non-Hispanic Black,US Citizen,,High School,English,3,0,0,1,Don't Know,
84775,Male,28,Non-Hispanic Black,US Citizen,,College/AA degree,English,1,0,0,0,"$ 35,000 - 54,999",3.06
84776,Male,47,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,0,1,0,"$ 35,000 - 54,999",1.48
84777,Male,43,Non-Hispanic Black,US Citizen,,9th-11th,English,5,0,3,0,"$ 55,000 - 74,999",2.46
84778,Female,20,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,1,"$ 20,000 - 34,999",1.88
84779,Male,1,Mexican American,US Citizen,,,English,3,1,0,0,"$ 35,000 - 54,999",1.84
84780,Female,29,Other Hispanic,US Citizen,,College/AA degree,English,3,1,0,0,"$ 35,000 - 54,999",1.25
84781,Male,1,Other Hispanic,US Citizen,,,Spanish,3,1,0,0,"$ 20,000 - 34,999",1.59
84782,Male,2,Other Hispanic,US Citizen,,,Spanish,3,1,0,0,"$ 75,000 - 99,999",4.86
84783,Female,47,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,4,0,1,0,"$ 35,000 - 54,999",0.75
84784,Male,42,Mexican American,Not a US Citizen,,High School,Spanish,6,1,1,0,"$ 55,000 - 74,999",2.15
84785,Male,66,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,1,"$ 35,000 - 54,999",2.55
84786,Female,50,Non-Hispanic White,US Citizen,,College/AA degree,English,4,0,1,0,"$ 75,000 - 99,999",3.3
84787,Female,78,Non-Hispanic Black,US Citizen,,High School,English,4,0,1,2,"$ 20,000 - 34,999",1.34
84788,Male,71,Non-Hispanic White,US Citizen,,9th-11th,English,3,0,0,2,"$ 75,000 - 99,999",1.19
84789,Female,0,Other Hispanic,US Citizen,,,English,5,2,1,0,"$ 35,000 - 54,999",1.23
84790,Male,41,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,4,1,1,0,"$ 10,000 - 19,999",0.8
84791,Male,20,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,0,1,0,"$ 100,000 +",3.52
84792,Male,5,Non-Hispanic Black,US Citizen,,,English,5,1,2,0,"$ 35,000 - 54,999",1.58
84793,Male,28,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,0,"$ 35,000 - 54,999",2.38
84794,Male,1,Mexican American,US Citizen,,,English,4,1,0,0,"$ 0 - 9,999",0.08
84795,Female,38,Non-Hispanic White,US Citizen,,College Grad and above,English,4,2,0,0,"$ 100,000 +",5
84796,Female,51,Non-Hispanic White,US Citizen,,College Grad and above,English,4,0,1,0,"$ 100,000 +",5
84797,Female,25,Non-Hispanic White,US Citizen,,College/AA degree,English,4,0,0,1,"$ 100,000 +",5
84798,Female,10,Other Race,US Citizen,Primary School,,English,4,0,1,0,"$ 75,000 - 99,999",3.96
84799,Male,5,Mexican American,US Citizen,,,English,5,1,1,0,,
84800,Male,19,Mexican American,Not a US Citizen,High School,,English,4,0,1,0,"$ 10,000 - 19,999",0.49
84801,Male,7,Other Hispanic,US Citizen,Never Attended/KG,,English,5,1,1,0,Don't Know,
84802,Female,76,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,1,"$ 35,000 - 54,999",2.95
84803,Male,44,Non-Hispanic White,US Citizen,,College/AA degree,English,5,0,3,0,"$ 35,000 - 54,999",1.58
84804,Male,71,Non-Hispanic Black,US Citizen,,High School,English,2,0,0,2,"$ 55,000 - 74,999",4
84805,Female,53,Non-Hispanic Black,US Citizen,,9th-11th,English,3,0,0,0,"$ 10,000 - 19,999",0.85
84806,Male,18,Non-Hispanic Asian,Not a US Citizen,High School,,English,3,0,0,0,"$ 100,000 +",4.98
84807,Male,10,Other Hispanic,US Citizen,Primary School,,English,5,0,3,0,"$ 10,000 - 19,999",0.6
84808,Male,45,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,4,0,2,0,"$ 100,000 +",5
84809,Female,1,Mexican American,US Citizen,,,Spanish,5,1,2,0,"$ 10,000 - 19,999",0.46
84810,Male,18,Non-Hispanic Black,US Citizen,High School,,English,4,0,1,0,"$ 20,000 - 34,999",1.24
84811,Male,2,Other Hispanic,US Citizen,,,English,4,1,1,0,"$ 55,000 - 74,999",2.67
84812,Male,6,Non-Hispanic White,US Citizen,Never Attended/KG,,English,4,1,1,0,"$ 55,000 - 74,999",2.76
84813,Male,31,Non-Hispanic White,US Citizen,,High School,English,7,2,3,0,"$ 55,000 - 74,999",1.85
84814,Male,3,Mexican American,US Citizen,,,Spanish,4,1,1,0,Don't Know,
84815,Female,15,Non-Hispanic White,US Citizen,High School,,English,5,0,2,1,"$ 20,000 - 34,999",1.06
84816,Female,28,Non-Hispanic White,US Citizen,,College/AA degree,English,4,2,0,0,"$ 75,000 - 99,999",3.5
84817,Male,75,Mexican American,US Citizen,,College Grad and above,English,2,0,0,2,"$ 75,000 - 99,999",5
84818,Female,33,Non-Hispanic White,US Citizen,,College/AA degree,English,5,0,3,0,"$ 35,000 - 54,999",1.76
84819,Female,0,Non-Hispanic Asian,US Citizen,,,English,3,1,0,0,"$ 55,000 - 74,999",3.24
84820,Male,44,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,1,0,0,"$ 100,000 +",5
84821,Female,4,Non-Hispanic White,US Citizen,,,English,7,3,3,0,"$ 55,000 - 74,999",1.22
84822,Male,13,Non-Hispanic Black,US Citizen,Middle School,,English,4,2,1,0,"$ 20,000 - 34,999",1.15
84823,Male,5,Non-Hispanic White,US Citizen,,,English,5,3,0,0,"$ 100,000 +",5
84824,Female,0,Non-Hispanic Black,US Citizen,,,English,4,2,0,0,"$ 75,000 - 99,999",3.79
84825,Female,41,Non-Hispanic Black,US Citizen,,College/AA degree,English,5,0,3,0,"$ 35,000 - 54,999",1.41
84826,Female,45,Non-Hispanic Asian,Not a US Citizen,,High School,English,5,0,2,0,"$ 20,000 - 34,999",0.95
84827,Male,1,Non-Hispanic Black,US Citizen,,,English,6,2,0,0,"$ 100,000 +",3.25
84828,Female,61,Other Hispanic,US Citizen,,College Grad and above,Spanish,2,0,0,2,"$ 0 - 9,999",0.6
84829,Male,24,Non-Hispanic White,US Citizen,,College/AA degree,English,6,2,0,0,"$ 100,000 +",4.61
84830,Male,25,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 0 - 9,999",0.12
84831,Male,54,Mexican American,US Citizen,,Less than 9th Grade,English,2,0,0,0,"$ 20,000 - 34,999",1.18
84832,Male,58,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,0,"$ 35,000 - 54,999",2.97
84833,Female,32,Non-Hispanic Black,US Citizen,,College/AA degree,English,6,1,3,0,"$ 100,000 +",3.13
84834,Female,7,Other Hispanic,US Citizen,Primary School,,English,3,0,1,0,"$ 35,000 - 54,999",2.48
84835,Male,39,Non-Hispanic Black,US Citizen,,9th-11th,English,4,2,0,0,"$ 35,000 - 54,999",2.06
84836,Female,10,Other Hispanic,US Citizen,Primary School,,Spanish,5,0,3,0,"$ 10,000 - 19,999",0.58
84837,Female,45,Mexican American,Not a US Citizen,,9th-11th,Spanish,4,0,1,0,"$ 35,000 - 54,999",1.65
84838,Male,23,Non-Hispanic Asian,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
84839,Male,2,Other Hispanic,US Citizen,,,Spanish,5,2,1,0,"$ 20,000 - 34,999",0.92
84840,Female,9,Non-Hispanic Black,US Citizen,Primary School,,English,4,0,2,0,"$ 75,000 - 99,999",3.3
84841,Female,27,Non-Hispanic Black,US Citizen,,High School,English,3,1,1,0,"$ 0 - 9,999",0.2
84842,Male,50,Mexican American,Not a US Citizen,,High School,Spanish,4,0,0,0,"$ 55,000 - 74,999",1.02
84843,Male,24,Non-Hispanic Asian,US Citizen,,College Grad and above,English,4,0,0,2,"$ 20,000 - 34,999",1.26
84844,Male,17,Non-Hispanic Black,US Citizen,High School,,English,3,0,1,0,"$ 55,000 - 74,999",2.99
84845,Male,8,Non-Hispanic White,US Citizen,Primary School,,English,6,0,2,2,"$ 10,000 - 19,999",0.43
84846,Male,24,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,1,0,0,0,"$ 20,000 - 34,999",2.53
84847,Female,28,Mexican American,US Citizen,,High School,English,4,2,0,0,"$ 55,000 - 74,999",2.47
84848,Female,6,Other Race,US Citizen,Primary School,,English,4,1,1,0,"$ 35,000 - 54,999",1.65
84849,Male,36,Non-Hispanic Black,US Citizen,,College/AA degree,English,1,0,0,0,"$ 35,000 - 54,999",3.37
84850,Female,53,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,2,0,0,0,"$ 20,000 - 34,999",1.51
84851,Female,15,Non-Hispanic White,US Citizen,High School,,English,4,0,2,0,"$ 100,000 +",5
84852,Female,28,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,0,"$ 20,000 - 34,999",1.57
84853,Male,10,Non-Hispanic Black,US Citizen,Primary School,,English,4,0,2,0,"$ 35,000 - 54,999",1.77
84854,Female,51,Other Hispanic,US Citizen,,High School,Spanish,5,0,0,0,,
84855,Male,10,Non-Hispanic Black,US Citizen,Primary School,,English,4,1,2,0,"$ 10,000 - 19,999",0.47
84856,Female,0,Non-Hispanic Black,US Citizen,,,English,5,1,2,0,"$ 35,000 - 54,999",1.76
84857,Female,13,Non-Hispanic Black,US Citizen,Middle School,,English,7,1,4,0,"$ 20,000 - 34,999",0.49
84858,Male,8,Non-Hispanic White,US Citizen,Primary School,,English,7,1,4,0,"$ 35,000 - 54,999",1.23
84859,Female,42,Non-Hispanic Black,US Citizen,,College Grad and above,English,5,1,3,0,"$ 55,000 - 74,999",1.94
84860,Female,10,Mexican American,US Citizen,Primary School,,Spanish,3,0,2,0,Don't Know,
84861,Female,2,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 35,000 - 54,999",2.38
84862,Female,56,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,1,"$ 55,000 - 74,999",3.64
84863,Female,5,Mexican American,US Citizen,,,English,6,1,4,0,"$ 20,000 - 34,999",0.74
84864,Male,4,Non-Hispanic White,US Citizen,,,English,4,1,1,0,"$ 100,000 +",5
84865,Male,26,Non-Hispanic White,US Citizen,,College/AA degree,English,5,0,2,0,"$ 35,000 - 54,999",1.32
84866,Male,33,Mexican American,Not a US Citizen,,9th-11th,Spanish,5,0,3,0,"$ 55,000 - 74,999",2.36
84867,Female,62,Other Hispanic,US Citizen,,High School,English,2,0,0,2,"$ 10,000 - 19,999",0.88
84868,Male,40,Non-Hispanic Black,US Citizen,,High School,English,4,0,0,0,,
84869,Female,54,Non-Hispanic White,US Citizen,,College Grad and above,English,3,0,1,0,"$ 75,000 - 99,999",3.98
84870,Male,33,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,3,0,0,1,,
84871,Female,15,Non-Hispanic Asian,US Citizen,High School,,English,5,0,3,0,"$ 35,000 - 54,999",1.86
84872,Male,32,Mexican American,Not a US Citizen,,9th-11th,Spanish,5,0,1,0,"$ 35,000 - 54,999",1.41
84873,Male,1,Non-Hispanic Asian,US Citizen,,,English,7,2,4,2,"$ 75,000 - 99,999",1.03
84874,Male,22,Other Hispanic,US Citizen,,College/AA degree,English,4,0,2,0,"$ 35,000 - 54,999",1.73
84875,Male,15,Other Race,US Citizen,High School,,English,4,0,2,0,"$ 20,000 - 34,999",0.91
84876,Male,0,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 100,000 +",5
84877,Male,1,Mexican American,US Citizen,,,English,7,2,4,0,"$ 55,000 - 74,999",1.47
84878,Male,46,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,5,1,1,0,"$ 35,000 - 54,999",1.48
84879,Female,35,Mexican American,US Citizen,,9th-11th,English,3,0,2,0,"$ 10,000 - 19,999",0.82
84880,Female,44,Non-Hispanic Black,US Citizen,,College Grad and above,English,5,2,0,0,"$ 55,000 - 74,999",2.46
84881,Male,12,Non-Hispanic Asian,US Citizen,Middle School,,English,5,0,3,0,"$ 35,000 - 54,999",1.58
84882,Female,15,Non-Hispanic White,US Citizen,High School,,English,4,0,1,0,"$ 100,000 +",5
84883,Male,2,Mexican American,US Citizen,,,English,3,1,0,0,"$ 55,000 - 74,999",2.84
84884,Female,2,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 20,000 - 34,999",1.49
84885,Female,61,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,2,Don't Know,
84886,Male,12,Mexican American,US Citizen,Middle School,,Spanish,6,0,4,0,"$ 35,000 - 54,999",1.23
84887,Female,42,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,5,0,2,0,Don't Know,
84888,Male,0,Mexican American,US Citizen,,,English,7,2,4,0,"$ 75,000 - 99,999",1.72
84889,Male,11,Non-Hispanic White,US Citizen,Primary School,,English,4,0,3,0,"$ 55,000 - 74,999",2.68
84890,Female,6,Other Hispanic,US Citizen,Never Attended/KG,,English,4,1,2,0,"$ 10,000 - 19,999",0.62
84891,Female,52,Non-Hispanic Asian,US Citizen,,9th-11th,English,5,0,3,0,"$ 35,000 - 54,999",1.23
84892,Female,8,Mexican American,US Citizen,Primary School,,English,7,2,4,0,"$ 20,000 - 34,999",0.61
84893,Female,46,Non-Hispanic Black,US Citizen,,College/AA degree,English,2,0,0,0,"$ 20,000 - 34,999",
84894,Female,73,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,2,"$ 100,000 +",5
84895,Female,80,Other Race,US Citizen,,High School,English,1,0,0,1,"$ 10,000 - 19,999",1.22
84896,Male,22,Non-Hispanic Asian,US Citizen,,High School,English,4,0,0,1,"$ 20,000 - 34,999",1.24
84897,Female,2,Non-Hispanic Black,US Citizen,,,English,4,3,0,0,"$ 10,000 - 19,999",0.7
84898,Male,11,Non-Hispanic White,US Citizen,Primary School,,English,5,0,3,0,"$ 75,000 - 99,999",3.45
84899,Female,32,Non-Hispanic White,US Citizen,,College/AA degree,English,4,1,0,0,"$ 35,000 - 54,999",1.86
84900,Male,45,Non-Hispanic White,US Citizen,,College Grad and above,English,4,0,2,0,"$ 100,000 +",5
84901,Female,61,Other Hispanic,US Citizen,,High School,Spanish,2,0,0,2,"$ 20,000 - 34,999",1.26
84902,Female,67,Other Hispanic,US Citizen,,High School,English,1,0,0,1,"$ 0 - 9,999",0.83
84903,Female,14,Mexican American,Not a US Citizen,Middle School,,English,5,0,3,0,"$ 55,000 - 74,999",2
84904,Female,48,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,0,1,0,"$ 55,000 - 74,999",2.55
84905,Female,18,Non-Hispanic Asian,US Citizen,High School,,English,5,0,0,1,,
84906,Male,53,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,1,"$ 20,000 - 34,999",1.56
84907,Male,13,Non-Hispanic White,US Citizen,Middle School,,English,4,0,1,0,"$ 100,000 +",5
84908,Male,4,Mexican American,US Citizen,,,English,2,1,0,0,"$ 10,000 - 19,999",0.63
84909,Female,9,Other Hispanic,US Citizen,Primary School,,English,6,2,1,1,"$ 10,000 - 19,999",0.31
84910,Female,51,Other Hispanic,US Citizen,,College/AA degree,Spanish,4,0,1,0,"$ 55,000 - 74,999",2.52
84911,Female,4,Mexican American,US Citizen,,,Spanish,6,2,1,0,"$ 20,000 - 34,999",0.92
84912,Male,57,Mexican American,Not a US Citizen,,College Grad and above,Spanish,3,0,1,0,"$ 20,000 - 34,999",1.29
84913,Female,47,Mexican American,Not a US Citizen,,9th-11th,English,5,0,2,0,"$ 55,000 - 74,999",2.24
84914,Female,52,Non-Hispanic White,US Citizen,,9th-11th,English,2,0,0,0,"$ 10,000 - 19,999",0.87
84915,Female,45,Mexican American,US Citizen,,College/AA degree,English,2,0,0,0,"$ 55,000 - 74,999",3.45
84916,Male,38,Non-Hispanic Black,US Citizen,,9th-11th,English,2,0,0,0,"$ 0 - 9,999",0.55
84917,Male,32,Mexican American,US Citizen,,9th-11th,English,6,0,0,0,"$ 55,000 - 74,999",0.67
84918,Female,16,Other Hispanic,US Citizen,High School,,English,5,1,2,0,"$ 35,000 - 54,999",1.37
84919,Male,61,Mexican American,US Citizen,,Less than 9th Grade,Spanish,4,0,0,2,"$ 20,000 - 34,999",1.11
84920,Male,35,Non-Hispanic Black,US Citizen,,9th-11th,English,6,1,3,0,"$ 20,000 - 34,999",0.77
84921,Male,54,Non-Hispanic Black,Not a US Citizen,,Less than 9th Grade,English,7,0,0,0,"$ 35,000 - 54,999",0.95
84922,Male,14,Non-Hispanic Black,US Citizen,Middle School,,English,4,0,1,2,"$ 20,000 - 34,999",1.34
84923,Female,66,Non-Hispanic Black,US Citizen,,College/AA degree,English,1,0,0,1,"$ 10,000 - 19,999",1.67
84924,Female,28,Non-Hispanic White,US Citizen,,College Grad and above,English,3,1,0,0,"$ 75,000 - 99,999",3.73
84925,Male,0,Other Race,US Citizen,,,English,6,2,2,0,"$ 35,000 - 54,999",1.07
84926,Male,40,Non-Hispanic White,US Citizen,,High School,English,5,0,1,0,"$ 20,000 - 34,999",1.15
84927,Female,43,Non-Hispanic White,US Citizen,,College Grad and above,English,4,0,2,0,"$ 55,000 - 74,999",2.47
84928,Male,13,Non-Hispanic White,US Citizen,Middle School,,English,6,1,4,0,"$ 55,000 - 74,999",1.84
84929,Female,67,Other Hispanic,Not a US Citizen,,Less than 9th Grade,Spanish,6,0,2,1,"$ 20,000 - 34,999",0.94
84930,Male,49,Non-Hispanic Black,US Citizen,,High School,English,1,0,0,0,"$ 20,000 - 34,999",2.53
84931,Male,30,Non-Hispanic Black,US Citizen,,High School,English,4,0,0,0,"$ 100,000 +",4.12
84932,Male,60,Non-Hispanic Black,US Citizen,,Less than 9th Grade,English,5,0,0,1,"$ 35,000 - 54,999",0.04
84933,Male,30,Non-Hispanic White,US Citizen,,High School,English,5,3,0,0,"$ 20,000 - 34,999",0.88
84934,Male,57,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,5,1,0,0,"$ 100,000 +",4.57
